#{"t_start": 1729955594.1375365, "env_id": "dmc_quadruped_walk_12345-v1"}
r,l,t
19.276158,1000,48.804488
16.43808,1000,81.14647
20.601933,1000,106.406032
12.370382,1000,125.293463
22.312888,1000,145.160473
22.007688,1000,163.926068
46.677051,1000,181.926416
29.257767,1000,200.609414
47.6652,1000,218.980399
50.606519,1000,237.670211
55.543093,1000,256.193889
66.160833,1000,274.926066
61.376911,1000,293.044024
67.530327,1000,310.516753
122.396203,1000,328.644001
106.596018,1000,346.498996
94.382017,1000,364.128378
97.696909,1000,381.897908
115.784036,1000,399.729321
123.579371,1000,417.803266
128.619403,1000,435.591334
122.298878,1000,453.529331
160.028446,1000,471.675635
112.657919,1000,489.593704
108.200251,1000,507.371361
186.19124,1000,524.788738
129.549413,1000,542.09513
119.645486,1000,559.330872
162.274838,1000,576.743689
229.615992,1000,593.969357
166.382595,1000,611.30194
187.0799,1000,628.524387
155.456755,1000,645.79316
185.859957,1000,663.365181
220.3719,1000,681.614996
204.517636,1000,699.2421
267.160492,1000,717.384581
202.720621,1000,735.453964
189.332737,1000,753.28212
163.259178,1000,771.093753
226.189442,1000,788.703095
198.085507,1000,806.642789
242.366088,1000,824.462356
229.328968,1000,842.283611
263.151301,1000,860.208569
192.608639,1000,878.054885
208.800526,1000,895.767308
237.076932,1000,913.616041
220.325061,1000,931.519298
220.064642,1000,949.274503
335.100085,1000,967.224692
180.252302,1000,985.067845
262.664024,1000,1002.883996
221.157476,1000,1020.692221
269.719601,1000,1038.415895
272.663438,1000,1056.106421
252.777747,1000,1073.765994
261.475224,1000,1091.625285
278.528482,1000,1109.393958
306.922788,1000,1127.064673
341.638779,1000,1144.755547
279.799064,1000,1162.36604
327.564316,1000,1179.905479
266.625369,1000,1197.407141
271.961872,1000,1215.207695
311.089481,1000,1232.894311
308.437264,1000,1250.495798
298.629377,1000,1268.172951
329.787853,1000,1285.684178
311.46607,1000,1303.383544
290.622604,1000,1321.583979
286.957815,1000,1339.432361
299.002001,1000,1357.209944
313.098317,1000,1375.736292
317.197219,1000,1393.803088
223.237679,1000,1411.757876
257.711379,1000,1429.767029
291.094798,1000,1448.151273
302.421126,1000,1466.441878
253.22679,1000,1484.291028
313.836432,1000,1502.287386
328.580927,1000,1520.663775
254.25826,1000,1538.650216
258.571959,1000,1557.048349
315.425488,1000,1574.709081
291.355044,1000,1592.333294
296.678132,1000,1609.727039
337.387502,1000,1627.220806
303.790423,1000,1645.341485
313.588168,1000,1663.780664
287.448918,1000,1681.927591
268.293351,1000,1699.586797
311.599194,1000,1717.334526
353.496557,1000,1735.321284
346.219041,1000,1753.362065
314.312763,1000,1771.176837
292.86788,1000,1789.273829
333.60008,1000,1807.111305
373.649081,1000,1824.995646
330.804957,1000,1842.674951
348.301319,1000,1860.361839
338.224505,1000,1878.26224
334.412942,1000,1895.754473
315.456805,1000,1913.49701
316.223977,1000,1931.028674
269.399118,1000,1948.745673
303.357522,1000,1966.735782
329.90624,1000,1984.471318
378.559526,1000,2002.379017
381.288321,1000,2020.402602
333.885536,1000,2038.322334
365.918898,1000,2056.222196
334.780811,1000,2074.164966
299.69334,1000,2092.028507
324.627391,1000,2109.950455
346.342368,1000,2127.770392
319.667092,1000,2145.570318
377.253795,1000,2163.461218
364.203829,1000,2181.50843
285.51081,1000,2199.641066
320.293553,1000,2217.880498
359.427502,1000,2235.895807
343.172681,1000,2253.787351
379.197977,1000,2271.656992
311.128321,1000,2289.596794
337.9847,1000,2307.578328
307.439281,1000,2325.68276
355.401468,1000,2343.570097
350.500388,1000,2361.172199
363.313739,1000,2379.288141
368.573189,1000,2397.171574
358.178948,1000,2415.163706
332.485511,1000,2432.963532
342.387202,1000,2450.952232
368.074385,1000,2468.921618
353.57657,1000,2487.08065
324.302527,1000,2505.011585
374.586578,1000,2522.436103
377.754039,1000,2540.465162
361.596865,1000,2558.244756
320.744549,1000,2576.127783
421.521473,1000,2594.018005
341.925848,1000,2611.778515
318.529619,1000,2629.854692
342.178526,1000,2647.584183
368.409741,1000,2665.550274
403.455788,1000,2683.453548
363.763499,1000,2701.381652
315.529037,1000,2719.367946
287.263262,1000,2736.997953
400.386709,1000,2754.972713
315.19246,1000,2772.544793
293.906529,1000,2790.08158
316.941642,1000,2807.771105
275.486911,1000,2824.978359
378.307284,1000,2842.911651
330.964398,1000,2860.236821
300.380024,1000,2877.85261
353.695904,1000,2895.627849
386.118629,1000,2913.237945
339.701391,1000,2931.152749
376.902996,1000,2949.121381
348.332755,1000,2967.000103
354.387811,1000,2984.614343
300.173777,1000,3002.745677
387.98354,1000,3020.65509
421.868546,1000,3038.473712
252.348616,1000,3056.520226
312.334631,1000,3075.169236
282.284133,1000,3093.315176
335.652395,1000,3111.157366
343.170741,1000,3129.421586
429.005435,1000,3147.181303
368.544763,1000,3164.637836
203.572159,1000,3182.646678
363.600971,1000,3200.244045
368.051319,1000,3218.06748
375.636955,1000,3235.565582
402.475114,1000,3253.13306
436.672502,1000,3271.080991
348.326405,1000,3288.965529
359.148954,1000,3306.629521
464.407831,1000,3324.295732
345.660731,1000,3342.349199
371.392437,1000,3360.264361
397.482549,1000,3378.501193
412.903286,1000,3396.422214
357.345462,1000,3414.417775
308.264073,1000,3432.351715
362.475096,1000,3450.351424
329.817009,1000,3468.360681
431.181963,1000,3486.167138
373.821698,1000,3504.041475
329.507116,1000,3522.162655
408.451691,1000,3540.288369
432.950921,1000,3558.298774
377.955275,1000,3576.445733
366.245325,1000,3594.636548
342.794555,1000,3612.390951
406.945539,1000,3630.495496
434.874733,1000,3648.48683
375.175443,1000,3666.562435
348.995291,1000,3684.475
339.204861,1000,3702.328152
301.905021,1000,3719.988103
361.097578,1000,3737.931521
378.04348,1000,3755.618245
367.83678,1000,3773.411781
394.164,1000,3791.11468
440.243096,1000,3808.804596
343.94213,1000,3826.722621
393.632009,1000,3844.266253
402.97954,1000,3862.062871
387.210633,1000,3880.117887
372.435934,1000,3897.944273
318.111505,1000,3915.835614
312.013506,1000,3933.827829
362.234621,1000,3951.935628
354.189971,1000,3969.605154
355.26646,1000,3987.970597
387.310244,1000,4005.996772
368.486459,1000,4023.823954
261.827218,1000,4042.104951
459.251624,1000,4059.909493
347.227065,1000,4077.65457
420.653068,1000,4095.380548
385.659534,1000,4112.737399
371.085143,1000,4130.699707
382.767094,1000,4149.028366
419.150966,1000,4166.963213
344.579237,1000,4184.678772
428.738507,1000,4202.84434
454.668849,1000,4220.865969
363.10137,1000,4238.838151
398.661016,1000,4257.108534
377.545736,1000,4274.618812
326.187737,1000,4292.240163
382.528378,1000,4309.927429
417.222263,1000,4327.548355
390.635065,1000,4345.356824
358.296814,1000,4363.123738
394.168746,1000,4380.855981
373.418078,1000,4398.651021
348.043726,1000,4416.342233
316.378991,1000,4434.168691
398.12843,1000,4452.381841
423.704934,1000,4470.490195
435.260752,1000,4488.380553
393.683813,1000,4506.322491
366.506529,1000,4524.236184
